1,Melon,Sgi Gray 56,Ivoryblack,Darkolivegreen,Gray 15,Gray 30
2,Peachpuff 3,Bisque 2,Gray 25,Lemonchiffon 4,Sgi Gray 16,Darkslategray
3,Gray 40,Ivoryblack,Gray 25,Lightsteelblue 2,Gray 10,Gray 60
4,Deepskyblue 3,Lightyellow 4,Tan 4,Tan 2,Ivoryblack,Peacock
5,Turquoiseblue,Mediumseagreen,Powderblue,Turquoise,Lightsalmon 4,Gray 60
6,Gray 50,Sgi Lightgray,Gray 90,Sgi Gray 36,Gray 25,Sgi Gray 76
7,Khaki 4,Rosybrown,Cornsilk 3,Darkgoldenrod 3,Lightsalmon 4,Banana
8,Wheat 3,Darkolivegreen,Ivory 2,Darkolivegreen 4,Sgi Gray 16,Gray 25
9,Gray 99,Mistyrose 4,Lemonchiffon 3,Purple 3,Gray 20,Deeppink 2
10,Lightpink 3,Mediumturquoise,Brown,Coral 3,Darkslategray,Mistyrose 2
11,Gray 30,Pink 4,Sgi Darkgray,Gainsboro,Gray 25,Sgi Gray 56
12,Lightgrey,Darkorange 3,Darkgoldenrod 4,Sgi Olivedrab,Sepia,Melon
13,Wheat 3,Saddlebrown,Gray 25,Peru,Gray 10,Gray 45
14,Sgi Lightgray,Crimson,Darkolivegreen,Yellowgreen,Gray 20,Hotpink 2
15,Navajowhite 3,Darkolivegreen,Navajowhite 4,Lemonchiffon 2,Sepia,Yellowgreen
16,Seashell 2,White Smoke 2,Peachpuff 3,Tan 2,Burlywood 4,Cadmiumorange
17,Gray 5,Ivoryblack,Gray 25,Gray 45,Gray 1,Lightsteelblue 3
18,Melon,Rosybrown,Bisque 2,Wheat 4,Lightsalmon 4,Sgi Brightgray
19,Sgi Brightgray,Gray 90,Burlywood 3,Darkseagreen 4,Chartreuse 4,Sgi Chartreuse
20,Gray 60,Darkseagreen,Gray 20,Darkolivegreen 4,Ivoryblack,Darkolivegreen
21,Lightsalmon 4,Gray 90,Seashell 3,Gray 25,Ivoryblack,Gray 65
22,Cornsilk 4,Gainsboro,Ivoryblack,Gray 30,Gray 10,Gray 40
23,Palegoldenrod,Snow 2,Darkolivegreen,Lightgoldenrod 3,Gray 20,Ivory 3
24,Salmon 3,Lightsalmon 4,Gray 95,Mistyrose 3,Gray 10,Gray 20
25,Sgi Gray 96,Lightgoldenrod 2,Lightyellow 3,Darkolivegreen 3,Darkolivegreen 4,Gray 60
26,Sgi Gray 96,Gray 70,Gray 20,Brown,Gray 10,Antiquewhite 4
27,Skyblue 3,Rosybrown,Seashell 3,Gray 95,Lightsalmon 4,Peru
28,Cadmiumorange,Antiquewhite 2,Peachpuff 3,Ivoryblack,Tomato 4,Peru
29,Cornsilk 3,Peachpuff 3,Gray 95,Indianred,Burlywood 4,Mistyrose 2
30,White Smoke 2,Sgi Slateblue,Gainsboro,Sgi Brightgray,Sgi Gray 36,Darkgoldenrod
31,Sgi Darkgray,Burlywood 3,Lightsteelblue 3,Lightcyan 4,Gray 20,Coral 4
32,Gray 85,Snow 4,Gray 20,Gray 40,Gray 15,Gray 75
33,Gray 30,Gray 75,Warmgrey,Gray 60,Gray 20,Gray 40
34,Bisque 2,Palegreen 4,Sgi Gray 56,Lightcoral,Gray 20,Darkslategray
35,Rosybrown,Gray 85,Gray 99,Sienna 3,Sgi Teal,Lightsalmon 4
36,Darkslategray,Gray 75,Gray 20,Gray 90,Gray 5,Ivoryblack
37,Gray 40,Burlywood 3,Gray 25,Peachpuff 2,Ivoryblack,Lightsalmon 4
38,Mistyrose 2,Indianred,Gray 60,Palevioletred 2,Sgi Gray 36,Gray 95
39,Snow 2,Sgi Lightgray,Darkolivegreen,Navajowhite 4,Gray 20,Darkkhaki
40,Rosybrown,Gray 25,Sgi Darkgray,Snow 2,Ivoryblack,Burlywood 4
41,Sgi Gray 96,Gray 60,Gray 80,Mediumpurple,Sgi Gray 36,Gray 70
42,Antiquewhite 3,Rosybrown,Sgi Darkgray,Snow 2,Gray 20,Lightsalmon 4
43,Gray 20,Khaki 4,Gray 30,Gray 40,Ivoryblack,Gray 60
44,Gray 85,Darkgray,Sgi Gray 36,Bisque 4,Ivoryblack,Gray 25
45,Peachpuff 4,Darkolivegreen,Honeydew 3,Gray 90,Gray 25,Gray 60
46,Snow 2,Lightyellow 4,Gray 80,Gray 25,Sgi Gray 16,Gray 40
47,Sgi Gray 56,Burlywood 3,Tan 4,Sgi Brightgray,Sepia,Lightgoldenrod 4
48,Navajowhite 4,Tan 4,Peru,Sepia,Ivoryblack,Brown
49,Antiquewhite 4,Steelblue,Royalblue 4,Gray 30,Darkslategray,Gray 70
50,Gray 25,Navajowhite 3,Lightgoldenrod 4,Ivory 3,Ivoryblack,Sgi Olivedrab
51,Gray 10,Gray 25,Gainsboro,Lightsalmon 4,Gray 5,Burlywood 3
52,Crimson,Snow 2,Peachpuff 4,﻿Indian Red,Gray 25,Rosybrown 3
53,Mistyrose 2,Lightcoral,Peachpuff 2,Navajowhite 3,Gray 40,Lemonchiffon 4
54,Seashell 3,Navajowhite 4,Gray 90,Gray 65,Sepia,Burlywood 3
55,Gray 85,Khaki 4,Darkseagreen,Wheat 3,Darkolivegreen,Darkkhaki
56,Firebrick 3,Banana,Antiquewhite 3,Lightblue 3,Royalblue 4,Deepskyblue 2
57,Sgi Lightgray,Lightcyan 4,Rosybrown,Peru,Darkolivegreen,Lavender
58,Gray 5,Gray 10,Sgi Darkgray,Ivory 4,Black*,Gray 20
59,Peachpuff 3,Peachpuff 4,Lightsalmon 4,White Smoke 2,Sepia,Rosybrown
60,Gray 25,Burlywood 4,Gray 65,Sgi Darkgray,Ivoryblack,Burlywood 3
61,Gray 99,Gray 80,Peachpuff 4,Gray 90,Sgi Darkgray,Gray 60
62,Olivedrab 4,Khaki,Ivory 2,Lightyellow 4,Gray 20,Yellowgreen
63,Lightsalmon 4,Gray 25,Wheat 4,Royalblue 4,Ivoryblack,Gainsboro
64,Ivory 3,Lightsalmon 3,Tan 4,Peachpuff 3,﻿Indian Red,Mintcream
65,Lightsalmon 3,Burlywood 4,Peachpuff 3,White Smoke 2,Firebrick,Ivory 3
66,Palevioletred 4,Darkolivegreen,Lightgoldenrod 4,Antiquewhite 3,Ivoryblack,Antiquewhite 2
67,Darkslategray,Lightgrey,Melon,Red 3,Sepia,Salmon 4
68,Gray 70,Melon,Orange 3,Gray 90,Burlywood 4,Lightyellow 4
69,Gray 90,Gray 70,Honeydew 4,Darkkhaki,Gray 40,Azure 3
70,Rosybrown,Dodgerblue 4,Lightgrey,Gray 70,Gray 25,Steelblue
71,Gray 70,Gray 85,Manganeseblue,Springgreen 3,Darkslategray,Goldenrod 2
72,Seashell 3,Peachpuff 3,Tan 4,Lightsalmon 3,Gray 20,Darkolivegreen
73,Darkolivegreen,Gray 65,Wheat 4,Snow 2,Gray 20,Seashell 3
74,Bisque 2,Lightsalmon 3,Tan,Lightsalmon 4,Gray 20,Burlywood 4
75,Lemonchiffon 4,Gray 70,White Smoke 2,Burlywood 2,Dodgerblue 4,Gray 85
76,Indianred,﻿Indian Red,Mistyrose 3,Cadetblue 3,Deepskyblue 3,Sgi Gray 96
77,Gray 40,Gray 95,Chocolate,Lightgoldenrod 4,Burntsienna,Cornsilk 3
78,Lightgrey,Lemonchiffon 4,Khaki 3,Warmgrey,Gray 25,Peru
79,Gray 70,Dimgray 1,Darkolivegreen,Teal*,Ivoryblack,Gainsboro
80,Gray 20,Dimgray 1,Lightslategray,Burlywood 3,Ivoryblack,Gainsboro
81,Burlywood 4,Manganeseblue,Azure 4,Azure 3,Darkslategray,Sepia
82,Gray 90,Sienna 2,Coral 4,Royalblue 3,Royalblue 4,Gray 70
83,Lemonchiffon 4,Pink 3,Sgi Lightgray,Gray 30,Gray 20,Gray 90
84,Tomato 4,Rosybrown,Snow 2,Gray 25,Ivoryblack,Burlywood 4
85,Lightsteelblue,Slateblue 4,Ghostwhite,Sgi Slateblue,Midnightblue,Lightskyblue 3
86,Snow 1,Darkolivegreen,Gray 25,Lightyellow 4,Ivoryblack,Lemonchiffon 3
87,Snow 2,Darkolivegreen,Lightyellow 4,Ivory 3,Gray 25,Peachpuff 3
88,Peachpuff 2,Burlywood 3,Gray 25,Sienna 4,Ivoryblack,Lightgoldenrod 4
89,Burlywood 2,Mediumpurple 2,Azure 2,Deepskyblue 2,Indianred,Lightskyblue 2
90,Ivory 2,Darkkhaki,Lightcoral,Bisque 2,Brown 2,Bisque 3
91,Chocolate,Gray 25,Sgi Lightgray,Dimgray 1,Sepia,Gainsboro
92,Thistle 4,Lightsalmon 3,Coral 4,Sgi Darkgray,Ivoryblack,Mistyrose 3
93,Gray 30,Palevioletred 3,Gray 20,Mistyrose 2,Ivoryblack,Hotpink 4
94,Gainsboro,White Smoke 2,Skyblue 4,Seashell 3,Darkslategray,Gray 65
95,Darkolivegreen,Seagreen 4,Tan,Lightgrey,Gray 20,Gray 95
96,Ivory 3,Lightsalmon 3,Teal*,Sgi Brightgray,Darkolivegreen,Darkseagreen 4
97,Peachpuff 4,Cornsilk 2,Gray 30,Lightsalmon 4,Ivoryblack,Peachpuff 3
98,Gray 25,Cornsilk 3,Gray 10,Rosybrown,Sepia,Sgi Gray 16
99,Bisque 2,Salmon 4,Firebrick 3,Lightsalmon 3,Ivoryblack,Sepia
100,Snow 2,Peru,Melon,Darksalmon,Sienna,Peachpuff 2
101,Lightgoldenrod 4,Gray 25,Gray 45,Sienna 4,Gray 20,Burlywood 3
102,Gray 30,Navajowhite 4,Gray 75,Ivoryblack,Gray 5,Sgi Gray 56
103,Gainsboro,Sienna 4,Sgi Gray 76,Bisque 4,Steelblue 4,Dodgerblue 4
104,Gray 70,Gainsboro,Sienna 3,Gray 60,Gray 25,Warmgrey
105,Gray 85,White Smoke 2,Rosybrown,Gray 30,Gray 20,Rosybrown 4
106,Sepia,Rosybrown,Seashell 3,Gray 35,Gray 10,Sepia
107,Burlywood 4,Burlywood 3,Gray 25,Bisque 2,Firebrick 4,Gray 10
108,Darkolivegreen,Darkslategray,Lightblue 4,Gray 70,Gray 20,Gray 20
109,Sepia,Lightsalmon 4,Peru,Gray 10,Gray 1,Rosybrown
110,Tan 4,Lightsalmon 3,Antiquewhite 4,Burlywood 4,Gray 25,Gray 85
111,Antiquewhite 2,Navajowhite 2,Lightsalmon 3,Burlywood 4,Sepia,Tan 4
112,Gray 45,Gray 60,Gray 70,White Smoke 2,Gray 20,Sgi Darkgray
113,Ivory 4,Gainsboro,Gray 70,Snow 2,Gray 30,Burlywood 4
114,Snow 2,Lightgoldenrod 4,Bisque 3,Orange 2,Darkolivegreen,Mistyrose 2
115,Sepia,Sienna,Coral 4,Peachpuff 4,Ivoryblack,Tan 2
116,Sgi Gray 56,Palevioletred 4,Mistyrose 3,Gray 85,Sepia,Gray 95
117,Darkolivegreen,Gray 20,Darkslateblue,Sgi Lightgray,Gray 20,Gray 90
118,Seagreen 4,Lightcyan 4,Rosybrown,Lightgrey,Sgi Gray 16,Sgi Brightgray
119,Gray 40,Sgi Olivedrab,Olivedrab 4,Lemonchiffon 3,Gray 20,Gainsboro
120,Lightgrey,Sienna 2,Sgi Brightgray,Melon,Khaki 4,Darkorange 1
121,Salmon,Tomato 2,Burlywood 3,Snow 2,Sienna 4,Navajowhite 4
122,Rosybrown 3,Lavenderblush 3,Lightpink 4,Azure 2,Indianred 4,Sgi Salmon
123,Gray 40,Lightslategray,Gray 85,Gray 25,Midnightblue,Cobalt
124,Gray 85,Royalblue 4,Brick,Cobalt,Sgi Gray 16,Gray 30
125,Lightcyan 2,Steelblue 2,Sienna 3,Paleturquoise 4,Darkslategray,Banana
126,Azure 3,Burlywood 3,Azure 2,Brick,Sepia,Darkgray
127,Steelblue 4,Wheat 3,Skyblue 3,Brick,Sepia,Gainsboro
128,Gray 25,Gray 75,Gainsboro,Gray 45,Sgi Gray 16,Sgi Darkgray
129,Gray 85,Navajowhite 4,Gray 60,Lemonchiffon 3,Sgi Gray 16,Darkolivegreen
130,Snow 2,Firebrick 3,﻿Indian Red,Indianred 2,Brown 3,Gray 30
131,Lightgoldenrod 4,Navajowhite 2,Peru,Oldlace,Sepia,Darkkhaki
132,Lavenderblush 3,Gray 20,Sgi Darkgray,Gray 90,Gray 10,Bisque 4
133,Antiquewhite 3,Deeppink 3,Sienna,Deeppink 4,Sepia,Bisque 4
134,Deepskyblue 3,Sgi Lightblue,Dodgerblue 4,Deepskyblue 4,Brown 4,Lavenderblush 3
135,Gray 95,Sgi Gray 76,Gray 45,Gray 30,Gray 10,Gray 20
136,Olivedrab,Darkgray,Ivory 3,Lemonchiffon 4,Gray 20,Darkolivegreen
137,Sienna 4,Wheat 3,Darkorange 3,Wheat 4,Sepia,Sepia
138,Gray 20,Navajowhite 4,Ivoryblack,Gray 70,Gray 10,Gray 30
139,Seashell 2,Sgi Olivedrab,Darkolivegreen,Gray 35,Gray 20,Banana
140,Goldenrod,Wheat 4,Tan 4,Peachpuff 3,Sepia,Linen
141,Gray 45,Sgi Gray 76,Gray 60,Lightcyan 2,Sgi Gray 16,Darkslategray
142,Gray 99,Gray 20,Gray 35,Gray 25,Ivoryblack,Warmgrey
143,Gray 90,﻿Indian Red,Peachpuff 3,Tan 2,Sepia,Peachpuff 4
144,Chocolate 3,Burlywood 4,Peru,Peachpuff 3,Sepia,Tomato 4
145,Warmgrey,Darkolivegreen,Khaki 3,Gray 85,Ivoryblack,Sgi Olivedrab
146,Gray 85,Salmon 4,Burlywood 4,Rosybrown,Seagreen 4,Rosybrown 3
147,Gray 60,Sgi Gray 36,Gray 45,Lightsteelblue,Gray 25,Gainsboro
148,Snow 2,Lightsalmon 3,Gray 65,Antiquewhite 3,Sgi Gray 16,Sgi Darkgray
149,Firebrick,Orangered 4,Lightgoldenrod 4,Navajowhite 3,Salmon 4,Sienna 3
150,Ivoryblack,Darkkhaki,Gray 25,Darkolivegreen 4,Gray 10,Gray 20
151,Sienna 3,Darkred,Gray 35,Maroon 5,Ivoryblack,Sgi Gray 76
152,Navajowhite 2,Lightsalmon 3,Sgi Gray 16,Tomato 3,Indianred 4,Sgi Lightblue
153,Orangered 4,Burlywood 4,Orangered 4,Orangered 3,Sepia,Bisque 2
154,Bisque 3,Linen,Burlywood 2,Coral 3,Goldenrod 3,Salmon 2
155,Burlywood 4,Seashell 2,Brown 3,Burntumber,Gray 10,Rosybrown 3
156,Bisque 4,Darkolivegreen,Rosybrown,Burlywood 4,Gray 20,Lightgrey
157,Mediumpurple 2,Orchid 4,White Smoke 2,Sgi Slateblue,Gray 30,Palevioletred 3
158,Sgi Gray 16,Wheat,Lightsalmon 3,Gray 20,Gray 30,Lightsalmon 4
159,Gray 60,Gray 70,Snow 3,White Smoke 2,Gray 35,Gray 50
160,Sgi Olivedrab,Slategray 4,Azure 3,Palegoldenrod,Darkolivegreen,Gray 65
161,Gray 70,Gray 90,Sgi Lightblue,Snow 3,Gray 50,Gray 99
162,Lightgoldenrod 4,Rosybrown 4,Ivory 2,Tan 4,Gray 20,Burlywood 3
163,Sienna,Navajowhite 3,Linen,Seashell 3,Sepia,Lightsalmon 3
164,Carrot,Ivory 3,Burlywood,Warmgrey,Darkolivegreen,Darkseagreen
165,Lightyellow 4,Burlywood 4,Ivoryblack,Sgi Gray 76,Gray 5,Snow 2
166,Gray 40,Snow 3,Sgi Lightgray,Gray 90,Ivoryblack,Gray 25
167,Rosybrown,Seashell 2,Gray 30,Burlywood 4,Gray 20,Salmon 4
168,Gray 60,Khaki 4,Gray 20,Sapgreen,Ivoryblack,Lightgrey
169,Darkseagreen,Snow 2,Palevioletred 3,Wheat 4,Gray 30,Lightgrey
170,Mistyrose 2,Sgi Salmon,Snow 1,Bisque 3,Firebrick 4,Sienna
171,Gray 99,Gray 75,Azure 2,Ivory 4,Sgi Gray 36,Gray 80
172,Sgi Gray 36,Ivory 2,Warmgrey,Gray 70,Gray 25,Gray 65
173,Gray 85,White Smoke 2,Bisque 3,Darkgoldenrod 1,Black*,Orangered 3
174,Salmon 4,Gray 20,Rosybrown,Lemonchiffon 4,Ivoryblack,Burlywood 4
175,Rosybrown 2,Midnightblue,Lightpink 3,Sgi Salmon,Gray 10,Plum 4
176,Gainsboro,Cobaltgreen,Rosybrown,Lightsalmon 4,Gray 20,Mediumseagreen
177,Brown,Mistyrose 2,Peachpuff 3,Darkolivegreen,Ivoryblack,Burlywood 4
178,Lightsteelblue 4,Salmon 4,Sgi Gray 36,Gray 70,Gray 25,Gray 60
179,Gray 85,Burlywood 4,Gray 99,Darkolivegreen,Ivoryblack,Antiquewhite 3
180,Gray 99,Antiquewhite 2,Tan 4,Gray 70,Sepia,Peachpuff 4
181,Sgi Lightgray,Burlywood,Sgi Gray 56,Seashell 2,Gray 40,Gray 80
182,Peachpuff 3,Sgi Darkgray,Sepia,Chocolate 2,Ivoryblack,Warmgrey
183,Gray 15,Gainsboro,Sgi Gray 36,Gray 25,Ivoryblack,Lemonchiffon 4
184,Melon,Lemonchiffon 4,Darkolivegreen,Tomato 3,Gray 20,Lemonchiffon 3
185,Sgi Gray 36,Seashell 2,Gray 45,Gray 30,Sgi Gray 16,Antiquewhite 3
186,Cadetblue 2,Skyblue 3,Navajowhite 4,Peachpuff 3,Indianred 2,Ivory 2
187,Sgi Gray 56,Banana,Peru,Violetred 2,Cobaltgreen,Azure 3
188,Firebrick 2,Yellowgreen,Mediumblue,Mediumpurple 3,Gray 5,Salmon 4
189,Burlywood 3,Ivory 2,Lightyellow 3,Navajowhite 4,Gray 25,Sgi Darkgray
190,Gray 30,Gray 20,Pink 4,Gray 95,Gray 10,Ivoryblack
191,Darkkhaki,Bisque 2,Beige,Tan 4,Sienna 4,Wheat 3
192,Lightyellow 4,Gray 70,Snow 2,Burlywood,Darkolivegreen,Lightgrey
193,Ivory 3,Khaki 3,Sgi Gray 96,Palevioletred 2,Gray 30,Gray 60
194,Midnightblue,Dodgerblue 4,Sgi Gray 76,Azure 2,Gray 30,Lightskyblue 4
195,Gray 40,Lightyellow 4,Gray 30,Lightgoldenrod 4,Gray 20,Gray 65
196,Snow 1,Antiquewhite 2,Plum 2,Mistyrose 3,Khaki 4,Lightsalmon 2
197,Gray 95,Peachpuff 3,Mistyrose 2,Brown 3,Burntumber,Sgi Salmon
198,Bisque 3,Gray 30,Violetred 3,Gainsboro,Deeppink 4,Burlywood 4
199,Sienna 4,Goldenrod 3,Khaki 4,Khaki 3,Sepia,Darkolivegreen
200,Khaki 4,Sgi Brightgray,Lightsalmon 4,Gray 60,Darkolivegreen,Snow 2
201,Bisque 3,Cornsilk 4,Ivory 2,Sienna,Ivoryblack,Sgi Gray 36
202,Burlywood 4,Gray 25,Rosybrown,Azure 3,Brown 4,Steelblue
203,Chocolate,Ivory 4,Burntsienna,Gray 45,Gray 25,Seashell 2